fecha;cod_ine;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_otras;num_casos_prueba_desconocida
18263.0;1;2;2;0;0;0
18263.0;2;0;0;0;0;0
18263.0;3;0;0;0;0;0
18263.0;4;0;0;0;0;0
18263.0;5;0;0;0;0;0
18263.0;6;0;0;0;0;0
18263.0;7;0;0;0;0;0
18263.0;8;0;0;0;0;0
18263.0;9;8;6;0;0;2
18263.0;10;1;1;0;0;0
18263.0;11;0;0;0;0;0
18263.0;12;1;1;0;0;0
18263.0;13;9;9;0;0;0
18263.0;14;0;0;0;0;0
18263.0;15;0;0;0;0;0
18263.0;16;0;0;0;0;0
18263.0;17;0;0;0;0;0
18263.0;18;0;0;0;0;0
18263.0;19;0;0;0;0;0
18264.0;1;34;25;9;0;0
18264.0;2;8;8;0;0;0
18264.0;3;2;2;0;0;0
18264.0;4;4;4;0;0;0
18264.0;5;7;7;0;0;0
18264.0;6;1;1;0;0;0
18264.0;7;32;28;4;0;0
18264.0;8;67;16;0;3;48
18264.0;9;91;79;0;2;10
18264.0;10;44;34;9;0;1
18264.0;11;5;3;2;0;0
18264.0;12;7;5;2;0;0
18264.0;13;324;324;0;0;0
18264.0;14;5;4;1;0;0
18264.0;15;13;8;5;0;0
18264.0;16;47;47;0;0;0
18264.0;17;22;22;0;0;0
18264.0;18;0;0;0;0;0
18264.0;19;0;0;0;0;0
18265.0;1;356;323;32;0;1
18265.0;2;157;156;0;0;1
18265.0;3;29;29;0;0;0
18265.0;4;84;81;3;0;0
18265.0;5;52;51;0;0;1
18265.0;6;72;72;0;0;0
18265.0;7;561;449;112;0;0
18265.0;8;461;193;35;1;232
18265.0;9;1288;1219;0;8;61
18265.0;10;240;202;31;1;6
18265.0;11;134;89;45;0;0
18265.0;12;240;233;4;0;3
18265.0;13;1351;1349;0;0;2
18265.0;14;28;19;9;0;0
18265.0;15;233;195;38;0;0
18265.0;16;288;266;0;0;22
18265.0;17;108;107;1;0;0
18265.0;18;8;0;6;0;2
18265.0;19;5;5;0;0;0
18266.0;1;100;16;84;0;0
18266.0;2;15;15;0;0;0
18266.0;3;2;2;0;0;0
18266.0;4;10;8;2;0;0
18266.0;5;9;9;0;0;0
18266.0;6;16;16;0;0;0
18266.0;7;336;53;281;2;0
18266.0;8;21;9;3;0;9
18266.0;9;164;154;0;1;9
18266.0;10;95;24;70;1;0
18266.0;11;97;23;74;0;0
18266.0;12;108;19;80;0;9
18266.0;13;194;194;0;0;0
18266.0;14;8;1;7;0;0
18266.0;15;72;21;51;0;0
18266.0;16;41;32;0;0;9
18266.0;17;1;1;0;0;0
18266.0;18;1;1;0;0;0
18266.0;19;0;0;0;0;0
18267.0;1;19;19;0;0;0
18267.0;2;9;8;0;0;1
18267.0;3;0;0;0;0;0
18267.0;4;4;3;1;0;0
18267.0;5;4;4;0;0;0
18267.0;6;4;4;0;0;0
18267.0;7;28;28;0;0;0
18267.0;8;24;21;0;1;2
18267.0;9;92;87;0;5;0
18267.0;10;14;14;0;0;0
18267.0;11;4;3;1;0;0
18267.0;12;1;1;0;0;0
18267.0;13;147;147;0;0;0
18267.0;14;4;4;0;0;0
18267.0;15;1;1;0;0;0
18267.0;16;7;7;0;0;0
18267.0;17;3;3;0;0;0
18267.0;18;4;4;0;0;0
18267.0;19;1;1;0;0;0
18268.0;1;23;23;0;0;0
18268.0;2;36;36;0;0;0
18268.0;3;1;1;0;0;0
18268.0;4;4;4;0;0;0
18268.0;5;8;8;0;0;0
18268.0;6;1;1;0;0;0
18268.0;7;9;8;0;1;0
18268.0;8;17;17;0;0;0
18268.0;9;298;276;0;22;0
18268.0;10;23;23;0;0;0
18268.0;11;9;9;0;0;0
18268.0;12;12;12;0;0;0
18268.0;13;59;59;0;0;0
18268.0;14;5;5;0;0;0
18268.0;15;6;6;0;0;0
18268.0;16;7;7;0;0;0
18268.0;17;0;0;0;0;0
18268.0;18;0;0;0;0;0
18268.0;19;0;0;0;0;0
18269.0;1;246;246;0;0;0
18269.0;2;837;828;0;0;9
18269.0;3;17;17;0;0;0
18269.0;4;113;113;0;0;0
18269.0;5;29;29;0;0;0
18269.0;6;39;38;0;0;1
18269.0;7;93;93;0;0;0
18269.0;8;57;56;0;0;1
18269.0;9;718;717;0;1;0
18269.0;10;259;259;0;0;0
18269.0;11;18;18;0;0;0
18269.0;12;41;41;0;0;0
18269.0;13;652;652;0;0;0
18269.0;14;82;82;0;0;0
18269.0;15;88;88;0;0;0
18269.0;16;219;219;0;0;0
18269.0;17;3;3;0;0;0
18269.0;18;0;0;0;0;0
18269.0;19;8;8;0;0;0
18270.0;1;946;946;0;0;0
18270.0;2;219;0;0;0;219
18270.0;3;62;62;0;0;0
18270.0;4;205;205;0;0;0
18270.0;5;265;264;0;0;1
18270.0;6;120;120;0;0;0
18270.0;7;455;455;0;0;0
18270.0;8;536;534;0;0;2
18270.0;9;1160;1155;0;5;0
18270.0;10;483;483;0;0;0
18270.0;11;129;129;0;0;0
18270.0;12;251;251;0;0;0
18270.0;13;3885;3885;0;0;0
18270.0;14;349;349;0;0;0
18270.0;15;209;209;0;0;0
18270.0;16;729;729;0;0;0
18270.0;17;93;93;0;0;0
18270.0;18;9;9;0;0;0
18270.0;19;30;27;0;0;3
18292.0;1;0;0;0;0;0
18292.0;2;0;0;0;0;0
18292.0;3;0;0;0;0;0
18292.0;4;0;0;0;0;0
18292.0;5;0;0;0;0;0
18292.0;6;0;0;0;0;0
18292.0;7;0;0;0;0;0
18292.0;8;0;0;0;0;0
18292.0;9;1;1;0;0;0
18292.0;10;4;3;1;0;0
18292.0;11;0;0;0;0;0
18292.0;12;0;0;0;0;0
18292.0;13;4;4;0;0;0
18292.0;14;0;0;0;0;0
18292.0;15;0;0;0;0;0
18292.0;16;0;0;0;0;0
18292.0;17;0;0;0;0;0
18292.0;18;0;0;0;0;0
18292.0;19;0;0;0;0;0
18294.0;1;2;1;1;0;0
18294.0;2;0;0;0;0;0
18294.0;3;0;0;0;0;0
18294.0;4;0;0;0;0;0
18294.0;5;1;0;0;0;1
18294.0;6;0;0;0;0;0
18294.0;7;1;1;0;0;0
18294.0;8;0;0;0;0;0
18294.0;9;3;2;0;0;1
18294.0;10;0;0;0;0;0
18294.0;11;2;0;2;0;0
18294.0;12;1;1;0;0;0
18294.0;13;6;6;0;0;0
18294.0;14;0;0;0;0;0
18294.0;15;0;0;0;0;0
18294.0;16;0;0;0;0;0
18294.0;17;0;0;0;0;0
18294.0;18;0;0;0;0;0
18294.0;19;0;0;0;0;0
18295.0;1;33;31;2;0;0
18295.0;2;14;14;0;0;0
18295.0;3;3;3;0;0;0
18295.0;4;6;6;0;0;0
18295.0;5;12;12;0;0;0
18295.0;6;0;0;0;0;0
18295.0;7;44;37;7;0;0
18295.0;8;62;18;0;5;39
18295.0;9;84;63;0;1;20
18295.0;10;46;36;9;0;1
18295.0;11;7;6;1;0;0
18295.0;12;19;19;0;0;0
18295.0;13;383;383;0;0;0
18295.0;14;8;6;2;0;0
18295.0;15;15;11;4;0;0
18295.0;16;56;54;0;0;2
18295.0;17;30;29;1;0;0
18295.0;18;0;0;0;0;0
18295.0;19;0;0;0;0;0
18296.0;1;263;216;47;0;0
18296.0;2;127;127;0;0;0
18296.0;3;54;54;0;0;0
18296.0;4;35;34;1;0;0
18296.0;5;34;32;0;0;2
18296.0;6;53;53;0;0;0
18296.0;7;518;446;72;0;0
18296.0;8;366;147;24;1;194
18296.0;9;1065;1008;0;2;55
18296.0;10;217;181;31;0;5
18296.0;11;76;51;25;0;0
18296.0;12;266;259;4;0;3
18296.0;13;1007;1007;0;0;0
18296.0;14;30;21;9;0;0
18296.0;15;144;126;18;0;0
18296.0;16;256;239;0;0;17
18296.0;17;100;99;1;0;0
18296.0;18;2;0;1;0;1
18296.0;19;3;3;0;0;0
18297.0;1;95;15;80;0;0
18297.0;2;21;16;0;1;4
18297.0;3;3;3;0;0;0
18297.0;4;3;1;2;0;0
18297.0;5;5;5;0;0;0
18297.0;6;0;0;0;0;0
18297.0;7;344;58;286;0;0
18297.0;8;16;6;4;0;6
18297.0;9;154;149;0;0;5
18297.0;10;110;31;76;0;3
18297.0;11;58;13;45;0;0
18297.0;12;84;23;46;0;15
18297.0;13;166;166;0;0;0
18297.0;14;17;1;16;0;0
18297.0;15;70;16;54;0;0
18297.0;16;50;41;0;0;9
18297.0;17;2;1;1;0;0
18297.0;18;2;2;0;0;0
18297.0;19;0;0;0;0;0
18298.0;1;6;6;0;0;0
18298.0;2;17;17;0;0;0
18298.0;3;0;0;0;0;0
18298.0;4;7;7;0;0;0
18298.0;5;4;4;0;0;0
18298.0;6;2;2;0;0;0
18298.0;7;19;19;0;0;0
18298.0;8;29;16;0;11;2
18298.0;9;107;92;0;15;0
18298.0;10;19;19;0;0;0
18298.0;11;10;4;5;1;0
18298.0;12;1;1;0;0;0
18298.0;13;112;112;0;0;0
18298.0;14;2;2;0;0;0
18298.0;15;3;3;0;0;0
18298.0;16;12;11;0;0;1
18298.0;17;1;1;0;0;0
18298.0;18;2;2;0;0;0
18298.0;19;0;0;0;0;0
18299.0;1;14;14;0;0;0
18299.0;2;22;22;0;0;0
18299.0;3;0;0;0;0;0
18299.0;4;3;3;0;0;0
18299.0;5;1;1;0;0;0
18299.0;6;0;0;0;0;0
18299.0;7;9;9;0;0;0
18299.0;8;15;15;0;0;0
18299.0;9;240;218;0;21;1
18299.0;10;23;23;0;0;0
18299.0;11;4;4;0;0;0
18299.0;12;24;24;0;0;0
18299.0;13;46;46;0;0;0
18299.0;14;2;2;0;0;0
18299.0;15;4;4;0;0;0
18299.0;16;8;8;0;0;0
18299.0;17;0;0;0;0;0
18299.0;18;0;0;0;0;0
18299.0;19;0;0;0;0;0
18300.0;1;213;213;0;0;0
18300.0;2;445;440;0;0;5
18300.0;3;11;11;0;0;0
18300.0;4;96;96;0;0;0
18300.0;5;29;29;0;0;0
18300.0;6;23;23;0;0;0
18300.0;7;91;91;0;0;0
18300.0;8;62;61;0;0;1
18300.0;9;471;471;0;0;0
18300.0;10;188;188;0;0;0
18300.0;11;21;21;0;0;0
18300.0;12;32;32;0;0;0
18300.0;13;544;544;0;0;0
18300.0;14;61;61;0;0;0
18300.0;15;84;84;0;0;0
18300.0;16;299;299;0;0;0
18300.0;17;5;4;0;1;0
18300.0;18;1;1;0;0;0
18300.0;19;4;4;0;0;0
18301.0;1;808;808;0;0;0
18301.0;2;237;1;0;0;236
18301.0;3;54;54;0;0;0
18301.0;4;180;180;0;0;0
18301.0;5;242;241;0;0;1
18301.0;6;106;106;0;0;0
18301.0;7;465;464;0;1;0
18301.0;8;627;625;0;0;2
18301.0;9;1036;1031;0;5;0
18301.0;10;556;556;0;0;0
18301.0;11;153;152;0;0;1
18301.0;12;266;266;0;0;0
18301.0;13;3493;3493;0;0;0
18301.0;14;344;344;0;0;0
18301.0;15;177;177;0;0;0
18301.0;16;611;611;0;0;0
18301.0;17;91;89;0;0;2
18301.0;18;8;8;0;0;0
18301.0;19;26;25;0;0;1
18305.0;1;2;1;1;0;0
18305.0;2;1;1;0;0;0
18305.0;3;0;0;0;0;0
18305.0;4;0;0;0;0;0
18305.0;5;0;0;0;0;0
18305.0;6;0;0;0;0;0
18305.0;7;3;0;3;0;0
18305.0;8;0;0;0;0;0
18305.0;9;9;7;0;0;2
18305.0;10;2;1;1;0;0
18305.0;11;1;0;1;0;0
18305.0;12;0;0;0;0;0
18305.0;13;15;15;0;0;0
18305.0;14;0;0;0;0;0
18305.0;15;0;0;0;0;0
18305.0;16;0;0;0;0;0
18305.0;17;0;0;0;0;0
18305.0;18;1;0;1;0;0
18305.0;19;0;0;0;0;0
18306.0;1;1;1;0;0;0
18306.0;2;0;0;0;0;0
18306.0;3;0;0;0;0;0
18306.0;4;1;1;0;0;0
18306.0;5;1;1;0;0;0
18306.0;6;0;0;0;0;0
18306.0;7;1;1;0;0;0
18306.0;8;0;0;0;0;0
18306.0;9;1;1;0;0;0
18306.0;10;2;2;0;0;0
18306.0;11;1;1;0;0;0
18306.0;12;0;0;0;0;0
18306.0;13;11;11;0;0;0
18306.0;14;1;0;1;0;0
18306.0;15;0;0;0;0;0
18306.0;16;0;0;0;0;0
18306.0;17;0;0;0;0;0
18306.0;18;0;0;0;0;0
18306.0;19;0;0;0;0;0
18307.0;1;4;1;3;0;0
18307.0;2;0;0;0;0;0
18307.0;3;0;0;0;0;0
18307.0;4;0;0;0;0;0
18307.0;5;0;0;0;0;0
18307.0;6;0;0;0;0;0
18307.0;7;0;0;0;0;0
18307.0;8;0;0;0;0;0
18307.0;9;10;10;0;0;0
18307.0;10;4;4;0;0;0
18307.0;11;2;1;1;0;0
18307.0;12;0;0;0;0;0
18307.0;13;13;13;0;0;0
18307.0;14;0;0;0;0;0
18307.0;15;0;0;0;0;0
18307.0;16;3;3;0;0;0
18307.0;17;0;0;0;0;0
18307.0;18;0;0;0;0;0
18307.0;19;0;0;0;0;0
18308.0;1;0;0;0;0;0
18308.0;2;1;1;0;0;0
18308.0;3;0;0;0;0;0
18308.0;4;0;0;0;0;0
18308.0;5;2;2;0;0;0
18308.0;6;0;0;0;0;0
18308.0;7;0;0;0;0;0
18308.0;8;0;0;0;0;0
18308.0;9;6;5;0;0;1
18308.0;10;1;1;0;0;0
18308.0;11;0;0;0;0;0
18308.0;12;1;1;0;0;0
18308.0;13;15;15;0;0;0
18308.0;14;0;0;0;0;0
18308.0;15;0;0;0;0;0
18308.0;16;1;1;0;0;0
18308.0;17;0;0;0;0;0
18308.0;18;0;0;0;0;0
18308.0;19;0;0;0;0;0
18309.0;1;2;0;2;0;0
18309.0;2;2;1;0;0;1
18309.0;3;0;0;0;0;0
18309.0;4;0;0;0;0;0
18309.0;5;0;0;0;0;0
18309.0;6;0;0;0;0;0
18309.0;7;0;0;0;0;0
18309.0;8;0;0;0;0;0
18309.0;9;2;1;0;0;1
18309.0;10;6;3;3;0;0
18309.0;11;1;0;1;0;0
18309.0;12;0;0;0;0;0
18309.0;13;19;19;0;0;0
18309.0;14;3;0;3;0;0
18309.0;15;0;0;0;0;0
18309.0;16;2;2;0;0;0
18309.0;17;0;0;0;0;0
18309.0;18;0;0;0;0;0
18309.0;19;0;0;0;0;0
18310.0;1;3;3;0;0;0
18310.0;2;1;1;0;0;0
18310.0;3;0;0;0;0;0
18310.0;4;0;0;0;0;0
18310.0;5;1;1;0;0;0
18310.0;6;0;0;0;0;0
18310.0;7;1;1;0;0;0
18310.0;8;0;0;0;0;0
18310.0;9;4;4;0;0;0
18310.0;10;2;1;1;0;0
18310.0;11;0;0;0;0;0
18310.0;12;1;1;0;0;0
18310.0;13;14;14;0;0;0
18310.0;14;1;0;1;0;0
18310.0;15;0;0;0;0;0
18310.0;16;0;0;0;0;0
18310.0;17;0;0;0;0;0
18310.0;18;0;0;0;0;0
18310.0;19;0;0;0;0;0
18311.0;1;1;0;1;0;0
18311.0;2;0;0;0;0;0
18311.0;3;0;0;0;0;0
18311.0;4;0;0;0;0;0
18311.0;5;1;1;0;0;0
18311.0;6;0;0;0;0;0
18311.0;7;1;0;1;0;0
18311.0;8;0;0;0;0;0
18311.0;9;1;1;0;0;0
18311.0;10;2;1;1;0;0
18311.0;11;1;1;0;0;0
18311.0;12;1;0;0;0;1
18311.0;13;12;12;0;0;0
18311.0;14;1;0;1;0;0
18311.0;15;0;0;0;0;0
18311.0;16;1;1;0;0;0
18311.0;17;0;0;0;0;0
18311.0;18;0;0;0;0;0
18311.0;19;0;0;0;0;0
18312.0;1;8;3;5;0;0
18312.0;2;0;0;0;0;0
18312.0;3;0;0;0;0;0
18312.0;4;1;0;1;0;0
18312.0;5;1;1;0;0;0
18312.0;6;0;0;0;0;0
18312.0;7;3;1;2;0;0
18312.0;8;2;1;0;0;1
18312.0;9;14;11;0;0;3
18312.0;10;6;3;3;0;0
18312.0;11;1;0;1;0;0
18312.0;12;3;3;0;0;0
18312.0;13;23;23;0;0;0
18312.0;14;0;0;0;0;0
18312.0;15;1;0;1;0;0
18312.0;16;1;1;0;0;0
18312.0;17;0;0;0;0;0
18312.0;18;0;0;0;0;0
18312.0;19;0;0;0;0;0
18313.0;1;5;4;1;0;0
18313.0;2;2;2;0;0;0
18313.0;3;0;0;0;0;0
18313.0;4;0;0;0;0;0
18313.0;5;0;0;0;0;0
18313.0;6;0;0;0;0;0
18313.0;7;5;3;2;0;0
18313.0;8;0;0;0;0;0
18313.0;9;16;14;0;0;2
18313.0;10;3;2;1;0;0
18313.0;11;1;0;1;0;0
18313.0;12;0;0;0;0;0
18313.0;13;27;27;0;0;0
18313.0;14;0;0;0;0;0
18313.0;15;2;1;1;0;0
18313.0;16;3;3;0;0;0
18313.0;17;1;1;0;0;0
18313.0;18;0;0;0;0;0
18313.0;19;0;0;0;0;0
18314.0;1;2;2;0;0;0
18314.0;2;3;3;0;0;0
